geometry;hub;index_right;stop_id
POLYGON ((52.345607 4.917012000000001, 52.345607 4.920037, 52.347755 4.920037, 52.347755 4.917012000000001, 52.345607 4.917012000000001));9.01;23951;96469
POLYGON ((52.345607 4.917012000000001, 52.345607 4.920037, 52.347755 4.920037, 52.347755 4.917012000000001, 52.345607 4.917012000000001));9.01;41260;96470
POLYGON ((52.345607 4.917012000000001, 52.345607 4.920037, 52.347755 4.920037, 52.347755 4.917012000000001, 52.345607 4.917012000000001));9.01;29633;53865
POLYGON ((52.345607 4.917012000000001, 52.345607 4.920037, 52.347755 4.920037, 52.347755 4.917012000000001, 52.345607 4.917012000000001));9.01;44034;1528380
POLYGON ((52.345607 4.917012000000001, 52.345607 4.920037, 52.347755 4.920037, 52.347755 4.917012000000001, 52.345607 4.917012000000001));9.01;23454;1530596
POLYGON ((52.345607 4.917012000000001, 52.345607 4.920037, 52.347755 4.920037, 52.347755 4.917012000000001, 52.345607 4.917012000000001));9.01;65519;stoparea:26091
POLYGON ((52.345607 4.917012000000001, 52.345607 4.920037, 52.347755 4.920037, 52.347755 4.917012000000001, 52.345607 4.917012000000001));9.01;31139;1440315
POLYGON ((52.345607 4.917012000000001, 52.345607 4.920037, 52.347755 4.920037, 52.347755 4.917012000000001, 52.345607 4.917012000000001));9.01;28421;1440317
POLYGON ((52.345607 4.917012000000001, 52.345607 4.920037, 52.347755 4.920037, 52.347755 4.917012000000001, 52.345607 4.917012000000001));9.01;1834;1420586
POLYGON ((52.345607 4.917012000000001, 52.345607 4.920037, 52.347755 4.920037, 52.347755 4.917012000000001, 52.345607 4.917012000000001));9.01;56862;stoparea:122969
POLYGON ((52.345607 4.917012000000001, 52.345607 4.920037, 52.347755 4.920037, 52.347755 4.917012000000001, 52.345607 4.917012000000001));9.01;22713;1401154
POLYGON ((52.345607 4.917012000000001, 52.345607 4.920037, 52.347755 4.920037, 52.347755 4.917012000000001, 52.345607 4.917012000000001));9.01;22060;1420024
POLYGON ((52.345607 4.917012000000001, 52.345607 4.920037, 52.347755 4.920037, 52.347755 4.917012000000001, 52.345607 4.917012000000001));9.01;34030;1419757
POLYGON ((52.345607 4.917012000000001, 52.345607 4.920037, 52.347755 4.920037, 52.347755 4.917012000000001, 52.345607 4.917012000000001));9.01;52809;stoparea:18186
POLYGON ((52.345607 4.917012000000001, 52.345607 4.920037, 52.347755 4.920037, 52.347755 4.917012000000001, 52.345607 4.917012000000001));9.01;43560;1419759
