agency_name;route_short_name;route_long_name;Type;bus_type;route_id;<-- REMARK;col_7;REMARK -->;route_short_name_1;route_long_name_1;route_id_1
Connexxion;66;Zaandam Station via Den Uylbrug;Stadsbus;2;67254;now cancelled 21-06-20;;;;;
GVB;66;Station Bijlmer ArenA - IJburg;Stadsbus;2;441;;;;66;Bijlmer ArenA - Diemen Vinkenbrug - IJburg;441
Connexxion;67;Wormer - Zaandam Station - Westzaan - Assendelft;Streekbus;1;30498;;;;67;Wormer - Wormerveer - Zaandijk - Koog aan de Zaan - Zaandam - Koog aan de Zaan - Assendelft;30498
Connexxion;69;Krommenie - Zaandam Station - Kalf;Streekbus;1;53335;;;;69;Assendelft - Krommenie - Wormerveer - Koog aan de Zaan - Zaandam Station - ZMC - Kogerveld 't Kalf;53335
GVB;69;Station Sloterdijk - Schiphol Airport/Plaza;Stadsbus;2;19015;;;;69;Station Sloterdijk - Osdorp - Schiphol Noord - Schiphol Plaza;19015
Syntus Utrecht;70;Amersfoort via Soest - Hilversum via Soest;Streekbus;1;57699;;;;70;Amersfoort - Soest - Hilversum;57699
Connexxion;71;Beverwijk Station - Uitgeest Station;Streekbus;1;52494;;;;71;Beverwijk - Heemskerk - Uitgeest;52494
Connexxion;72;Beverwijk Station - Heemskerk Centrum;Streekbus;1;67292;;;;72;Beverwijk - Heemskerk;52495
Connexxion;73;Schalkwijk Centrum - Uitgeest Station;Streekbus;1;63682;now: 68983;;68983;73;Haarlem Schalkwijk - Station - Delftplein - Velserbroek - Beverwijk - Heemskerk - Uitgeest;52496
Connexxion;74;IJmuiden Dennekoplaan - Heemskerk Centrum;Streekbus;1;67293;now: 68984;;68984;74;IJmuiden - Velsen - Beverwijk - Heemskerk;52497
Connexxion;76;Beverwijk Station - Beverwijk Bazaar;;;52498;only in the weekend;;;;;
Connexxion;78;Wijk aan Zee - Beverwijk Station;Streekbus;1;63680;;;;78;Beverwijk - Wijk aan Zee;52492
Connexxion;79;Beverwijk Station - Castricum Soomerwegh;Streekbus;1;52493;;;;79;Beverwijk - Heemskerk - Castricum;52493
Connexxion;80;Zandvoort - Amsterdam Busstation Elandsgracht;Streekbus;1;52485;;;from Busstation Elandsgracht io A'dam CS;80;Amsterdam Centrum - Halfweg - Haarlem - Heemstede - Zandvoort;52485
Connexxion;81;Zandvoort - Haarlem Station;Streekbus;1;52484;;;;81;Haarlem - Overveen - Bloemendaal - Zandvoort;52484
Connexxion;82;Amsterdam Sloterdijk - IJmuiden Sluisplein DFDS;Streekbus;1;52486;Line is cancelled 28-04-19;;Line is cancelled;82;Amsterdam Sloterdijk - IJmuiden Sluisplein DFDS;52486
Connexxion;100;Bussum - Blaricum;Streekbus;1;1408;;;;100;Bussum - Huizen - Blaricum Bijvanck - Hilversum;1408
Connexxion;101;Bussum - Blaricum;Streekbus;1;1409;;;;101;Bussum - Huizen;1409
Connexxion;101;van Purmerend naar De Purmer Zuid;Stadsbus;2;43163;;;;101;Tramplein - Station - De Purmer Zuid;43163
EBS;103;van Monnickendam naar Purmerend;Streekbus;1;418;;;;103;Purmerend - De Purmer - Monnickendam;418
Connexxion;104;Hilversum - Nieuw Loosdrecht;Streekbus;1;1338;;;;104;Hilversum - Nieuw-Loosdrecht;1338
Connexxion;105;Bussum - Hilversum;Streekbus;1;1339;;;;105;Hilversum - Kortenhoef - 's-Graveland - Hilversumse Meent - Bussum;1339
Connexxion;106;Weesp - Nederhorst den Berg;Streekbus;1;1340;;;;106;Hilversum - Kortenhoef - Nederhorst den Berg - Weesp;1340
Connexxion;107;Huizen - Hilversum;Streekbus;1;1341;;;;107;Hilversum - Bussum - Blaricum Ziekenhuis;1341
Connexxion;108;Huizen - Hilversum;Streekbus;1;1334;;;;108;Hilversum - Laren - Blaricum Dorp - Huizen;1334
Connexxion;109;Bussum - Hilversum;Streekbus;1;1335;;;;109;Hilversum - Eemnes - Laren - Blaricum Ziekenhuis - Bussum;1335
Connexxion;110;Bussum - Weesp;Streekbus;1;1190;;;;110;Bussum - Naarden - Muiderberg - Muiden - Weesp;1190
EBS;110;van Volendam naar Purmerend;Streekbus;1;60892;;;;110;Volendam - Edam - Purmerend;60892
Syntus Utrecht;120;Amsterdam Bijlmer ArenA - Utrecht CS;Streekbus;1;57685;;;;120;Utrecht - Maarssen - Breukelen - Loenen aan de Vecht - Abcoude - Amsterdam-Zuidoost;57685
Syntus Utrecht;121;Mijdrecht via Loenen - Hilversum;Streekbus;1;57682;;;;121;Hilversum - Oud-Loosdrecht - Loenen aan de Vecht - Mijdrecht;57682
Overal (Connexxion);121;van Wormerveer naar Purmerend;Streekbus;1;412;;;;121;Purmerend - Neck - Jisp - Wormer - Wormerveer;412
Overal (Connexxion);123;Alkmaar Station - De Rijp - Alkmaar Station;Streekbus;1;60799;;;;123;Alkmaar - Schermer - Stompetoren - Schermerhorn - Grootschermer - Graft - De Rijp - Alkmaar;60799
EBS;125;van Amsterdam Sloterdijk naar Purmerend;Streekbus;1;60898;;;;125;Amsterdam Sloterdijk - Amsterdam Molenwijk - Landsmeer - Den Ilp - Purmerland - Purmerend;60898
Syntus Utrecht;126;Amsterdam via Abcoude A2 - Mijdrecht;Streekbus;1;67035;now 67845;;67845;126;Amsterdam-Zuidoost - Vinkeveen - Mijdrecht;57789
Overal (Connexxion);128;Hoorn Station - Noordbeemster;Streekbus;1;63642;;;;128;Hoorn - Berkhout - De Goorn - Avenhorn - Noordbeemster;60797
Overal (Connexxion);129;Alkmaar Station - Noordbeemster - P'rend Tramplein;Streekbus;1;63643;;;;129;Alkmaar - Schermer - Stompetoren - Schermerhorn - Noordbeemster - Middenbeemster - Zuidoostbeemster - Purmerend;60798
Overal (Connexxion);132;Hoorn Station - Wervershoof - Andijk;Streekbus;1;60820;;;;132;Hoorn - Zwaag - Wervershoof - Andijk;60820
Overal (Connexxion);133;Hoorn Station - Wognum - Opmeer - Hoogwoud;Streekbus;1;60819;;;;133;Hoorn - Zwaag - Wognum - Spanbroek - Opmeer - Hoogwoud;60819
Overal (Connexxion);134;Hoorn Station - Abbekerk Dorp - Wieringerwerf;Streekbus;1;60818;;;;134;Hoorn - Abbekerk - Middenmeer - Slootdorp - Wieringerwerf;60818
Overal (Connexxion);135;Hoorn Station - Wieringerwerf - Den Helder;Streekbus;1;60817;;;;135;Hoorn - Abbekerk - Middenmeer - Wieringerwerf - Den Oever - Den Helder;60817
Overal (Connexxion);136;Nibbixwoud - Oostwoud - Hoorn Station;Streekbus;1;63660;;;;136;Hoorn - Wognum - Nibbixwoud - Hauwert / Benningbroek - Midwoud;60816
Overal (Connexxion);139;Hoorn Station - Abbekerk - Opperdoes - Medemblik;Streekbus;1;63659;;;;139;Hoorn - Abbekerk - Opperdoes - Medemblik;60815
Overal (Connexxion);151;Alkmaar Station - Petten;Streekbus;1;63686;;;;151;Alkmaar - Schoorl - Petten;60836
Overal (Connexxion);152;Schagen Station - Callantsoog;Streekbus;1;60837;;;;152;Schagen - 't Zandt - Callantsoog;60837
Overal (Connexxion);156;Warmenhuizen - Schagen Station;Streekbus;1;63688;;;;156;Schagen - Dirkshorn - Tuitjenhorn - Warmenhuizen;60839
Overal (Connexxion);157;Alkmaar Station - Tuitjenhorn;Streekbus;1;63687;;;;157;Alkmaar - Schoorldam - Warmenhuizen - Tuitjenhorn;60838
Overal (Connexxion);160;Alkmaar Station - Heerhugowaard;Streekbus;1;60784;;;;160;Alkmaar - Heerhugowaard;60784
Connexxion;161;Zwanenburg - Hoofddorp Station;Streekbus;1;62521;;;;161;Hoofddorp - Lijnden - Boesingheliede - Halfweg - Zwanenburg;62521
Overal (Connexxion);162;Alkmaar Station - Heerhugowaard Icaruslaan;Streekbus;1;63628;;;;162;Alkmaar - Heerhugowaard;60785
Overal (Connexxion);162;Lisse - Hoofddorp Station;Streekbus;1;62520;;;;162;Hoofddorp - Nieuw Vennep - Lisserbroek - Lisse;62520
Overal (Connexxion);163;Alkmaar Station - Akersloot - Uitgeest;Streekbus;1;60786;Overal Flexbus, maar reguliere dienstregeling;;;163;Alkmaar - Akersloot - Uitgeest;60786
Overal (Connexxion);164;Castricum Station - Egmond Binnen - Egmond aan Zee;Streekbus;1;63629;"Overal Flexbus; new line maar reguliere dienstregeling";;;;;
Overal (Connexxion);165;Alkmaar Station -  Egmond a/Zee;Streekbus;1;60788;;;;165;Alkmaar - Egmond aan de Hoef - Egmond aan Zee;60788
Overal (Connexxion);166;Bergen - Alkmaar Station;Streekbus;1;63630;;;;166;Alkmaar - Bergen;60789
Overal (Connexxion);167;Castricum Station - Alkmaar Station;Streekbus;1;63631;;;;167;Alkmaar - Heiloo - Castricum;60790
